,true_log,pred_log,true_orig,pred_orig,Latitude,Longitude,abs_error_log,rmse_error_log,abs_error_orig,rmse_error_orig
237,17.657969121447334,0.037926912,46639999.99999997,0.03865532,35.4947,-76.8631,17.620042209139594,310.4658874518609,46639999.96134465,2175289596394229.2
238,14.914123179965662,-0.5322868,3000000.000000001,-0.41273952,36.2575,-77.6519,15.44641000276153,238.59158197341145,3000000.4127395162,9000002476437.268
239,16.440179222591198,0.31575274,13799999.999999985,0.37129116,35.5375,-76.2532,16.124426477916515,259.9971292417352,13799999.628708825,190439989752363.7
240,18.59966340784201,-0.04697162,119599999.99999991,-0.045885526,35.1407,-76.7487,18.64663502697119,347.69699782906883,119600000.04588544,1.4304160010975798e+16
241,13.972515161474428,-0.44503683,1169999.9999999998,-0.35919932,35.8161,-76.2118,14.417551989992342,207.86580538413213,1170000.359199315,1368900840526.5264
242,10.645448706505872,-0.504612,41999.99999999999,-0.39626023,35.8221,-76.5766,11.150060735104658,124.32385439652262,42000.396260231726,1764033286.0164871
243,12.611541086966115,0.060284555,299999.99999999977,0.06213874,38.2326,-75.27155,12.551256532007772,157.53404053226777,299999.9378612598,89999962716.75974
244,11.002116507732017,-0.37141263,60000.000000000015,-0.31024075,36.0662,-76.9791,11.373529142581566,129.35716515715217,60000.31024074556,3600037228.9857163
245,10.819798284210286,0.77186835,50000.000000000015,1.1638052,36.3902,-76.2101,10.047929936088643,100.96089600054631,49998.83619475366,2499883620.8298087
246,11.002116507732017,-0.031177282,60000.000000000015,-0.030696282,36.1507,-76.608,11.033293790065391,121.73357185789553,60000.03069628218,3600003683.5548034
247,13.864301674514206,0.23827663,1050000.0000000007,0.2690602,36.40065,-75.939,13.626025043874176,185.66855849628624,1049999.7309398062,1102499434973.6655
248,10.714439990727769,0.09388155,44999.999999999985,0.09842963,36.4444,-76.7017,10.62055844327675,112.79626164705705,44999.90157037227,2024991141.3431926
249,15.607270193858982,-0.47914582,6000000.0,-0.38068783,36.2575,-77.6519,16.08641601876819,258.7727803288818,6000000.380687833,36000004568254.14
250,12.429220196836383,-0.072349876,249999.9999999998,-0.06979462,36.2974,-76.2867,12.501570073001773,156.28925429017355,250000.0697946174,62500034897.31357
251,11.002116507732017,0.067831755,60000.000000000015,0.07018524,36.2069,-76.4419,10.934284753047569,119.55858306072854,59999.92981476338,3599991577.7765317
252,11.695255355062795,-0.079820335,120000.00000000004,-0.07671779,37.7659,-75.6472,11.775075689974141,138.65240750462,120000.07671778653,14400018412.274654
253,11.982935344196433,0.54334605,159999.99999999997,0.7217583,37.375299999999996,-76.5247,11.439589296795004,130.8642032793468,159999.27824169394,25599769037.863
254,11.289794413577894,0.7259991,80000.0,1.066795,36.9067,-76.7091,10.563795296680311,111.59377107016506,79998.9332050085,6399829313.939413
255,11.002116507732017,0.37629527,60000.000000000015,0.45687723,37.44725,-76.34299999999999,10.625821239196403,112.90807700735739,59999.54312276842,3599945174.9409466
256,11.225256725762893,-0.12659723,75000.00000000004,-0.11891152,37.3566,-75.8995,11.35185395142894,128.8645881345728,75000.11891151969,5625017836.742093
257,12.948012371209098,1.148132,420000.0,2.1522987,37.2401,-76.52535,11.799880404618216,139.23717756329296,419997.8477013111,176398192073.73373
